Altium Designer Pick and Place Locations
C:\Repo\cnc_projects\STM32F446CE_CNC_BOARD\Project Outputs for FLEXI_HAL_2000\FLEXI_HAL_2000_UPLOAD_GERBERS_A4\Pick Place\FLEXI_HAL_2000_CAM_OUTPUT_A4.txt

========================================================================================================================
File Design Information:

Date:       03-08-22
Time:       11:32
Revision:   3607a5cc18939c10a6c6433affdf817dc8ca3d51
Variant:    FULL_PLACE
Units used: mil

Designator Comment                                     Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                      
Logo2      "Expatria Technologies"                     TopLayer    Expatria-Logo                 3952.302      2020.019      315      ""                                                                                                               
R8         "4.7KO ±1%"                                 TopLayer    0603_R                        3518.701      2362.205      270      "Chip resistor"                                                                                                  
R5         "47KO ±1%"                                  TopLayer    0603_R                        3065.945      2258.858      180      "Chip resistor"                                                                                                  
R4         "4.7KO ±1%"                                 TopLayer    0603_R                        3198.819      2258.858      0        "Chip resistor"                                                                                                  
R3         "4.7KO ±1%"                                 TopLayer    0603_R                        2711.614      2244.095      180      "Chip resistor"                                                                                                  
R2         "2KO ±1%"                                   TopLayer    0603_R                        2883.858      2617.323      270      "Chip resistor"                                                                                                  
Q1         "MMBT5551  G1"                              TopLayer    SOT-23(SOT-23-3)              3056.102      2362.205      0        ???                                                                                                              
P5         WJ15EDGVC-3.5-2P                            TopLayer    691321100002                  4426.181      2303.150      90       "Header,Male Pin,Covered(4 Sided) 2 1 0.138"(3.50mm) 2 P=3.5mm Pluggable System Terminal Block RoHS"             
D26        "0603 Yellow"                               TopLayer    0603_LED_S1                   152.233       1323.736      180      LED                                                                                                              
D25        "0603 Yellow"                               TopLayer    0603_LED_S1                   152.233       1166.257      180      LED                                                                                                              
D24        "0603 Yellow"                               TopLayer    0603_LED_S1                   152.233       1018.620      180      LED                                                                                                              
D22        BAV23A                                      TopLayer    SOT-23(SOT-23-3)              3223.425      2362.205      0        "200V -65?~+150?@(Tj) 350mW 1 Pair Common Anode 1.25V@200mA 50ns 100nA@200V 400mA SOT-23 Switching Diode ROHS"   
D20        BAV23C                                      TopLayer    SOT-23(SOT-23-3)              3390.748      2362.205      0        "250V +150?@(Tj) 350mW Dual Common Cathode 1.25V@200mA 50ns 100nA@250V 225mA SOT-23 Switching Diode ROHS"        
D18        "0603 Yellow"                               TopLayer    0603_LED_S1                   152.233       861.142       180      LED                                                                                                              
D1         "0603 Yellow"                               TopLayer    0603_LED_S1                   152.233       708.584       180      LED                                                                                                              
